TOP TOPICS BY STATE,
Medical & prescriptions,"2,326"
Vacation & timeshares,"2,061"
Computer & technical support,"1,298"
Home security & alarms,"1,214"
"Lotteries, prizes & sweepstakes",937
Work from home,382
Home improvement & cleaning,146
*Not everyone who files a complaint reports a topic.,
Maine,
Complaints by Topic*,Complaints
Reducing debt,"3,706"
Vacation & timeshares,"1,815"
Warranties & protection plans,"1,766"
Imposters,"1,280"
Computer & technical support,819
Medical & prescriptions,731
"Lotteries, prizes & sweepstakes",408
Work from home,201
Home security & alarms,118
"Energy, solar & utilities",94
*Not everyone who files a complaint reports a topic.,
Maryland,
Complaints by Topic*,Complaints
Reducing debt,"22,162"
Imposters,"5,934"
Warranties & protection plans,"4,464"
Computer & technical support,"3,679"
"Energy, solar & utilities","3,282"
Vacation & timeshares,"3,205"
Home security & alarms,"2,683"
Medical & prescriptions,"2,649"
Home improvement & cleaning,"2,375"
"Lotteries, prizes & sweepstakes","1,481"
*Not everyone who files a complaint reports a topic.,
Massachusetts,
Complaints by Topic*,Complaints
Reducing debt,"16,345"
"Energy, solar & utilities","12,995"
Vacation & timeshares,"8,181"
Imposters,"6,613"
Medical & prescriptions,"2,941"
Warranties & protection plans,"2,817"
Computer & technical support,"2,614"
Home security & alarms,"2,371"
"Lotteries, prizes & sweepstakes","2,319"
Home improvement & cleaning,"1,196"
*Not everyone who files a complaint reports a topic.,
Michigan,
Complaints by Topic*,Complaints
Reducing debt,"30,814"
Warranties & protection plans,"13,123"
Vacation & timeshares,"8,002"
Imposters,"7,553"
Medical & prescriptions,"6,298"
Home security & alarms,"4,049"
Computer & technical support,"3,596"
"Lotteries, prizes & sweepstakes","2,246"
Work from home,"1,283"
"Energy, solar & utilities",929
*Not everyone who files a complaint reports a topic.,
Minnesota,
Complaints by Topic*,Complaints
Reducing debt,"14,903"
Vacation & timeshares,"6,009"
Imposters,"3,569"
Warranties & protection plans,"3,549"
Medical & prescriptions,"2,442"
Computer & technical support,"2,015"
"Lotteries, prizes & sweepstakes","1,602"
Work from home,816
Home improvement & cleaning,576
Home security & alarms,230
*Not everyone who files a complaint reports a topic.,
Mississippi,
Complaints by Topic*,Complaints
Reducing debt,"6,111"
Warranties & protection plans,"2,252"
Imposters,"1,413"
Vacation & timeshares,"1,261"
Home security & alarms,"1,075"
Medical & prescriptions,"1,068"
Computer & technical support,554
"Lotteries, prizes & sweepstakes",528
Work from home,254
Home improvement & cleaning,59
*Not everyone who files a complaint reports a topic.,
Missouri,
Complaints by Topic*,Complaints
Reducing debt,"11,678"
Imposters,"3,636"
Medical & prescriptions,"2,588"
Computer & technical support,"1,642"
Vacation & timeshares,"1,508"
"Lotteries, prizes & sweepstakes",995
Warranties & protection plans,724
Work from home,644
Home security & alarms,582
Home improvement & cleaning,330
*Not everyone who files a complaint reports a topic.,
Montana,
Complaints by Topic*,Complaints
Reducing debt,"3,079"
Medical & prescriptions,"1,423"
Warranties & protection plans,"1,182"
Vacation & timeshares,"1,030"
Imposters,841
Computer & technical support,482
"Lotteries, prizes & sweepstakes",369
Work from home,237
Home security & alarms,60
"Energy, solar & utilities",44
*Not everyone who files a complaint reports a topic.,
Nebraska,
Complaints by Topic*,Complaints
Reducing debt,"7,095"
Warranties & protection plans,"3,428"
Vacation & timeshares,"2,140"
Imposters,"1,427"
Medical & prescriptions,"1,222"
Computer & technical support,715
"Lotteries, prizes & sweepstakes",607
Work from home,358
Home improvement & cleaning,302
Home security & alarms,114
*Not everyone who files a complaint reports a topic.,
Nevada,
Complaints by Topic*,Complaints
Reducing debt,"7,756"
Vacation & timeshares,"3,396"
Imposters,"2,831"
Medical & prescriptions,"2,063"
Computer & technical support,"1,885"
Warranties & protection plans,"1,670"
"Lotteries, prizes & sweepstakes","1,253"
Work from home,585
Home security & alarms,581
Home improvement & cleaning,548
*Not everyone who files a complaint reports a topic.,
New Hampshire,
Complaints by Topic*,Complaints
Reducing debt,"5,508"
Warranties & protection plans,"2,629"
Vacation & timeshares,"2,297"
Imposters,"1,337"
Medical & prescriptions,877
Computer & technical support,791
"Lotteries, prizes & sweepstakes",554
Home security & alarms,385
"Energy, solar & utilities",328
Work from home,189
*Not everyone who files a complaint reports a topic.,
New Jersey,
Complaints by Topic*,Complaints
Reducing debt,"33,150"
"Energy, solar & utilities","30,193"
Warranties & protection plans,"10,448"
Vacation & timeshares,"10,069"
Imposters,"8,474"
Medical & prescriptions,"5,032"
Home security & alarms,"4,378"
Computer & technical support,"3,754"
Home improvement & cleaning,"3,080"
"Lotteries, prizes & sweepstakes","2,751"
*Not everyone who files a complaint reports a topic.,
New Mexico,
Complaints by Topic*,Complaints
Reducing debt,"4,076"
Vacation & timeshares,"2,031"
Imposters,"1,627"
Medical & prescriptions,"1,467"
Warranties & protection plans,"1,077"
Computer & technical support,"1,060"
"Lotteries, prizes & sweepstakes",672
"Energy, solar & utilities",547
Work from home,313
Home security & alarms,225
*Not everyone who files a complaint reports a topic.,
New York ,
Complaints by Topic*,Complaints
Reducing debt,"57,100"
Vacation & timeshares,"22,417"
"Energy, solar & utilities","18,811"
Warranties & protection plans,"16,187"
Imposters,"16,173"
Medical & prescriptions,"9,900"
Computer & technical support,"7,824"
"Lotteries, prizes & sweepstakes","6,358"
Home security & alarms,"5,483"
Home improvement & cleaning,"2,910"
*Not everyone who files a complaint reports a topic.,
North Carolina,
Complaints by Topic*,Complaints
Reducing debt,"29,589"
Warranties & protection plans,"10,489"
Imposters,"7,439"
Medical & prescriptions,"6,975"
Home security & alarms,"5,805"
Vacation & timeshares,"5,202"
Computer & technical support,"3,577"
"Lotteries, prizes & sweepstakes","2,496"
Work from home,"1,285"
"Energy, solar & utilities",727
*Not everyone who files a complaint reports a topic.,
North Dakota,
Complaints by Topic*,Complaints
Reducing debt,"1,619"
Warranties & protection plans,"1,130"
Imposters,345
Computer & technical support,297
Medical & prescriptions,278
Vacation & timeshares,187
"Lotteries, prizes & sweepstakes",160
Work from home,118
Home security & alarms,29
Home improvement & cleaning,20
*Not everyone who files a complaint reports a topic.,
Ohio,
Complaints by Topic*,Complaints
Reducing debt,"33,484"
Vacation & timeshares,"12,337"
Warranties & protection plans,"9,708"
Medical & prescriptions,"9,604"
Imposters,"7,908"
Home security & alarms,"4,821"
Computer & technical support,"4,816"
"Energy, solar & utilities","4,409"
"Lotteries, prizes & sweepstakes","2,872"
Work from home,"1,548"
*Not everyone who files a complaint reports a topic.,
Oklahoma,
Complaints by Topic*,Complaints
Reducing debt,"8,547"
Warranties & protection plans,"3,079"
Vacation & timeshares,"3,007"
Imposters,"2,099"
Medical & prescriptions,"1,560"
Home security & alarms,"1,042"
"Lotteries, prizes & sweepstakes",866
Computer & technical support,839
Work from home,469
Home improvement & cleaning,166
*Not everyone who files a complaint reports a topic.,
Oregon,
Complaints by Topic*,Complaints
Reducing debt,"13,026"
Vacation & timeshares,"8,468"
Imposters,"4,050"
Computer & technical support,"3,754"
Warranties & protection plans,"3,578"
Medical & prescriptions,"2,863"
"Lotteries, prizes & sweepstakes","1,782"
Home improvement & cleaning,972
Work from home,825
Home security & alarms,489
*Not everyone who files a complaint reports a topic.,
Pennsylvania,
Complaints by Topic*,Complaints
Reducing debt,"31,932"
Medical & prescriptions,"10,395"
Imposters,"9,303"
Warranties & protection plans,"7,372"
Home security & alarms,"4,853"
Computer & technical support,"4,546"
Vacation & timeshares,"4,404"
"Energy, solar & utilities","4,319"
"Lotteries, prizes & sweepstakes","2,599"
Work from home,"1,413"
*Not everyone who files a complaint reports a topic.,
Puerto Rico,
Complaints by Topic*,Complaints
Reducing debt,300
Imposters,61
Vacation & timeshares,46
Medical & prescriptions,28
"Energy, solar & utilities",19
"Lotteries, prizes & sweepstakes",16
Warranties & protection plans,16
Work from home,16
Computer & technical support,12
Home security & alarms,5
*Not everyone who files a complaint reports a topic.,
Rhode Island,
Complaints by Topic*,Complaints
Reducing debt,"2,419"
Vacation & timeshares,"1,268"
"Energy, solar & utilities","1,017"
Imposters,715
Computer & technical support,526
Medical & prescriptions,415
Home security & alarms,370
"Lotteries, prizes & sweepstakes",359
Warranties & protection plans,344
Home improvement & cleaning,171
*Not everyone who files a complaint reports a topic.,
South Carolina,
Complaints by Topic*,Complaints
Reducing debt,"11,229"
Vacation & timeshares,"5,565"
Warranties & protection plans,"4,681"
Medical & prescriptions,"3,473"
Imposters,"2,963"
Home security & alarms,"2,063"
"Energy, solar & utilities","1,838"
Computer & technical support,"1,429"
"Lotteries, prizes & sweepstakes","1,346"
Work from home,544
*Not everyone who files a complaint reports a topic.,
South Dakota,
Complaints by Topic*,Complaints
Reducing debt,"1,639"
Warranties & protection plans,920
Vacation & timeshares,781
Imposters,578
Medical & prescriptions,361
"Lotteries, prizes & sweepstakes",257
Computer & technical support,214
Work from home,83
Home security & alarms,37
Home improvement & cleaning,17
*Not everyone who files a complaint reports a topic.,
Tennessee,
Complaints by Topic*,Complaints
Reducing debt,"22,213"
Warranties & protection plans,"8,718"
Vacation & timeshares,"7,645"
Medical & prescriptions,"4,898"
Imposters,"4,739"
Home security & alarms,"3,300"
Computer & technical support,"2,072"
"Lotteries, prizes & sweepstakes","2,043"
Work from home,956
Home improvement & cleaning,279
*Not everyone who files a complaint reports a topic.,
Texas,
Complaints by Topic*,Complaints
Reducing debt,"62,857"
Warranties & protection plans,"27,449"
Imposters,"18,189"
Medical & prescriptions,"15,438"
Vacation & timeshares,"13,162"
Home security & alarms,"7,848"
Computer & technical support,"6,238"
"Lotteries, prizes & sweepstakes","5,828"
Home improvement & cleaning,"4,687"
"Energy, solar & utilities","3,919"
*Not everyone who files a complaint reports a topic.,
Utah,
Complaints by Topic*,Complaints
Reducing debt,"9,887"
"Energy, solar & utilities","5,155"
Warranties & protection plans,"3,535"
Imposters,"2,757"
Vacation & timeshares,"2,692"
Medical & prescriptions,"1,791"
Computer & technical support,"1,403"
"Lotteries, prizes & sweepstakes","1,036"
Work from home,758
Home security & alarms,545
*Not everyone who files a complaint reports a topic.,
Vermont,
Complaints by Topic*,Complaints
Reducing debt,"1,793"
Warranties & protection plans,"1,459"
Imposters,415
Computer & technical support,403
"Energy, solar & utilities",333
Medical & prescriptions,333
Vacation & timeshares,234
Home security & alarms,175
"Lotteries, prizes & sweepstakes",120
Work from home,58
*Not everyone who files a complaint reports a topic.,
Virginia,
Complaints by Topic*,Complaints
Reducing debt,"32,130"
Vacation & timeshares,"15,297"
Warranties & protection plans,"11,967"
Imposters,"8,451"
Medical & prescriptions,"7,753"
Computer & technical support,"3,814"
"Lotteries, prizes & sweepstakes","3,382"
Home improvement & cleaning,"2,432"
Home security & alarms,"1,523"
Work from home,"1,220"
*Not everyone who files a complaint reports a topic.,
Washington,
Complaints by Topic*,Complaints
Reducing debt,"15,224"
Vacation & timeshares,"12,345"
Imposters,"7,033"
Computer & technical support,"4,670"
Medical & prescriptions,"3,653"
"Lotteries, prizes & sweepstakes","2,701"
Work from home,"1,367"
Home improvement & cleaning,"1,346"
Warranties & protection plans,"1,226"
Home security & alarms,645
*Not everyone who files a complaint reports a topic.,
West Virginia,
Complaints by Topic*,Complaints
Reducing debt,"3,237"
Warranties & protection plans,"1,112"
Imposters,"1,018"
Vacation & timeshares,955
Computer & technical support,757
Medical & prescriptions,720
Home security & alarms,637
"Lotteries, prizes & sweepstakes",391
Work from home,136
"Energy, solar & utilities",46
Home improvement & cleaning,46
*Not everyone who files a complaint reports a topic.,
Wisconsin,
Complaints by Topic*,Complaints
Reducing debt,"14,692"
Warranties & protection plans,"8,403"
Medical & prescriptions,"3,441"
Imposters,"3,352"
Vacation & timeshares,"2,615"
Computer & technical support,"1,772"
"Lotteries, prizes & sweepstakes","1,223"
Home security & alarms,938
Work from home,611
Home improvement & cleaning,300
*Not everyone who files a complaint reports a topic.,
Wyoming,
Complaints by Topic*,Complaints
Reducing debt,"1,533"
Warranties & protection plans,663
Vacation & timeshares,661
Imposters,553
Medical & prescriptions,436
Computer & technical support,325
"Lotteries, prizes & sweepstakes",190
Work from home,154
Home security & alarms,30
Home improvement & cleaning,28
*Not everyone who files a complaint reports a topic.,
